channel,total_participations,unique_users,unique_users_named,mapping_pct
timthetatman,329,326,110,33.74
agraelus,423,316,9,2.85
snessh,447,314,314,100.00
rocky_,314,314,4,1.27
ironmouse,306,306,28,9.15
dariomocciatwitch,292,292,1,0.34
tomato,289,289,75,25.95
xloopierr,666,282,255,90.43
nadeshot,273,260,76,29.23
trymacs,247,247,32,12.96
hutchmf,242,242,109,45.04
megga,326,241,159,65.98
abugoku9999,267,237,9,3.80
kuramekira,318,233,233,100.00
avoidingthepuddle,233,233,50,21.46
pete_0w,746,231,206,89.18
zcointv,461,223,164,73.54
ott4,333,223,152,68.16
tteuw,221,221,12,5.43
igumdrop,241,218,55,25.23
kingsleague_br,252,218,26,11.93
djmariio,215,215,5,2.33
herrbergmann,213,213,39,18.31
scharo100x,304,212,212,100.00
yokitox100,842,211,13,6.16
henyathegenius,204,204,18,8.82
lvndmark,236,203,53,26.11
cryptokking,1100,200,112,56.00
gzsp,332,199,134,67.34
roflgator,246,195,195,100.00
fashr,298,195,130,66.67
rayasianboy,192,192,71,36.98
dokibird,186,186,186,100.00
kingslots10,2599,181,181,100.00
crodiezz,397,180,162,90.00
floppa__tv,429,180,114,63.33
payo,180,180,31,17.22
scottfdx,342,175,138,78.86
js0l_,547,175,90,51.43
not_threadguy,173,173,4,2.31
castcrafter,165,165,38,23.03
koma,175,160,8,5.00
noobmini,302,159,73,45.91
penta,159,159,40,25.16
dmitry_bale,200,159,4,2.52
putr0,202,157,25,15.92
buichka,244,149,149,100.00
xop0,154,144,1,0.69
minharte,223,139,139,100.00
crystalmolly,138,138,7,5.07
skipnho,136,136,39,28.68
scurrows,153,136,5,3.68
mathil1,160,131,31,23.66
the_happy_hob,147,130,16,12.31
btcwhitelu,610,128,94,73.44
bonjwachill,166,128,7,5.47
rachtaz,143,127,18,14.17
m1crotrader,415,122,69,56.56
thegrefg,125,122,1,0.82
krupin_crypto,321,121,72,59.50
imdbraz,210,120,120,100.00
grubby,143,120,15,12.50
taryn,195,113,113,100.00
nyanners,111,111,28,25.23
notquitelikedub,107,107,57,53.27
imnoonsx100,205,105,6,5.71
cozart_2s1,107,104,104,100.00
ybicanoooobov,103,103,8,7.77
asmodeey17,122,102,40,39.22
timcraftx99,178,102,4,3.92
padregg_tv,99,99,99,100.00
b0aty,99,99,10,10.10
tftoddy,97,97,3,3.09
raidzqt,165,96,50,52.08
lombrajr,189,94,49,52.13
clukzsol,116,93,93,100.00
fps_shaka,90,90,40,44.44
muleskinner1,127,85,85,100.00
shrood,312,84,84,100.00
alxcooks,126,81,81,100.00
romanolegovichx,130,80,74,92.50
slidrrz,118,80,54,67.50
esfandtv,78,78,25,32.05
pauleta_twitch,77,77,0,0.00
badirishh,110,75,58,77.33
matarakan,71,71,8,11.27
ulyssetif,95,70,70,100.00
morgpie,87,70,15,21.43
tbvnks,68,68,9,13.24
threadguy_official,68,68,0,0.00
unclebbao,136,66,50,75.76
eatmybiscuits_,138,63,47,74.60
sirurbanbourbon,99,63,17,26.98
kryptokinglive,90,62,48,77.42
bugoutudo,193,62,45,72.58
mathpellerin,62,62,4,6.45
consumerbreak,134,60,3,5.00
solanadalii,76,59,49,83.05
frenchbaguette00,65,55,55,100.00
ravusssss,55,55,3,5.45
hurma,61,53,53,100.00
faxuty,53,53,5,9.43
frodan,53,53,4,7.55
futureobitz,94,52,37,71.15
marty_4k,105,50,38,76.00
allrichard,104,48,38,79.17
h2p_gucio,48,48,3,6.25
caseoh247,47,47,7,14.89
spunosounds,51,46,46,100.00
zekken,49,46,16,34.78
dkayed,45,45,1,2.22
qroolk,83,44,40,90.91
moegainz1,63,44,27,61.36
dark__pool,78,44,7,15.91
bean,44,44,5,11.36
admiralbahroo,42,42,11,26.19
sardoche,41,41,0,0.00
waitergg,58,39,39,100.00
nyhrox,49,39,39,100.00
selfmadebez,73,39,26,66.67
bigpuffer,37,37,2,5.41
mr__insider,65,36,26,72.22
loodomoney,56,36,4,11.11
lirik,35,35,20,57.14
m0xyy,35,35,14,40.00
itsthatgigi_,46,35,5,14.29
fubgun,34,34,8,23.53
fobm4ster,31,31,8,25.81
arrav,31,31,7,22.58
doublelift,30,30,9,30.00
shlorox,30,30,1,3.33
kingamantv,46,29,14,48.28
bunnyayu,29,29,6,20.69
alienigena404,44,28,28,100.00
akarindao,28,28,4,14.29
gamesdonequick,28,28,1,3.57
fecoxa,39,27,17,62.96
sequisha,27,27,6,22.22
realzbluewater,255,26,26,100.00
milon1trader,105,26,9,34.62
cartmanbrah21,55,26,3,11.54
polispol1,26,26,1,3.85
tradingacademie,44,25,17,68.00
astapwnz,26,25,2,8.00
welshdanft,25,25,1,4.00
alphaexchange,130,24,14,58.33
rusleng13,27,24,12,50.00
victorious__5,29,24,9,37.50
0strich99,39,24,0,0.00
coachtradingacademie,35,23,23,100.00
inkspotz,23,23,23,100.00
pobelter,23,23,10,43.48
mimstarz,41,23,7,30.43
aussieantics,23,23,2,8.70
0xkasper_,23,23,2,8.70
teamsoldao,29,23,1,4.35
masterowl_42_,23,23,1,4.35
pieface23,22,22,1,4.55
samfletchertwitch,35,21,21,100.00
bitraderx,21,20,20,100.00
trader_tim_,20,20,20,100.00
felikah,20,20,4,20.00
foolish,20,20,2,10.00
wilsinhotv,20,19,19,100.00
chinnonofc,22,19,6,31.58
0xswiss,24,19,2,10.53
kingsleague_mex,19,19,2,10.53
rakin,19,19,1,5.26
iron_trader,22,18,7,38.89
mixwell,18,18,0,0.00
penigude97,16,16,16,100.00
xr_vinni,27,16,8,50.00
sogsogue,20,16,6,37.50
hoolinsx100,29,15,4,26.67
spekylant,19,14,14,100.00
miztakes,22,14,6,42.86
savefile17,14,14,1,7.14
altcoinperdu,18,13,13,100.00
closefriendsonly,13,13,1,7.69
elajjaz,13,13,1,7.69
ash_robin,16,12,12,100.00
thibsbtc,12,12,12,100.00
youngmulti,12,12,1,8.33
zerator,12,12,0,0.00
axoulark,12,11,11,100.00
markettraderstv,25,11,9,81.82
kaydop,11,11,3,27.27
angryginge13,11,11,2,18.18
1xrhz,14,10,10,100.00
cryptologikfr,10,10,0,0.00
lenhadorl2,10,9,9,100.00
cryptogrram,9,9,9,100.00
ciarnor,11,8,7,87.50
hennioso,16,8,4,50.00
ruetoo,8,8,4,50.00
huskerrs,8,8,1,12.50
moro8leo,8,8,0,0.00
nikolayknef,7,7,3,42.86
bpemrcom,7,7,1,14.29
diazbiffle,7,7,1,14.29
snkarma,7,7,0,0.00
cyr,6,6,2,33.33
snopey,5,5,2,40.00
artminn,9,5,1,20.00
azkcrypto,5,5,0,0.00
bamboofin,4,4,4,100.00
esee6257,4,4,4,100.00
deathnyc,4,4,2,50.00
tenz,6,4,1,25.00
goodman_crypto,5,4,0,0.00
freakynaughty,5,3,3,100.00
stockspy_bot,4,3,3,100.00
lparmytv,3,3,3,100.00
haydar_sabiev,3,3,3,100.00
mishgun333,3,3,3,100.00
zhaoyuna_,6,3,2,66.67
distortion2,3,3,1,33.33
wirtual,3,3,1,33.33
smirnokk,3,3,1,33.33
missmikkaa,3,3,1,33.33
sparkofphoenixtv,3,3,0,0.00
fam0uuus,2,2,2,100.00
gisely_l2,2,2,1,50.00
